# Episodio, Score
1350, 262.27
1351, 253.53
1352, 284.72
1353, 263.85
1354, 272.82
1355, 275.01
1356, 261.29
1357, 271.54
1358, 292.46
1359, 268.53
1360, 47.69
1361, 261.62
1362, 267.74
1363, 257.45
1364, 300.69
1365, 220.52
1366, 266.10
1367, 261.82
1368, 265.68
1369, 278.27
1370, 270.81
1371, 272.37
1372, 42.98
1373, 55.90
1374, 286.52
1375, 254.97
1376, 255.89
1377, -2.06
1378, 246.43
1379, 296.84
1380, 273.43
1381, 278.82
1382, 269.39
1383, 285.12
1384, 35.29
1385, 290.80
1386, 258.60
1387, 265.15
1388, 230.26
1389, 48.86
1390, 203.58
1391, 214.91
1392, 235.74
1393, 256.93
1394, 281.50
1395, 240.38
1396, 276.59
1397, 51.64
1398, 273.77
1399, 282.71
1400, 274.22
1401, 243.17
1402, 29.70
1403, 35.85
1404, 226.03
1405, 282.02
1406, 285.93
1407, 262.32
1408, 98.25
1409, 252.37
1410, 53.75
1411, 269.33
1412, 274.19
1413, 269.25
1414, 287.65
1415, 241.54
1416, 252.73
1417, 236.27
1418, 277.77
1419, 45.13
1420, 258.89
1421, 261.89
1422, 244.78
1423, -9.53
1424, 256.39
1425, 51.51
1426, 291.15
1427, 267.65
1428, 256.40
1429, 46.02
1430, 279.90
1431, 291.60
1432, 259.32
1433, 49.06
1434, 267.80
1435, 258.70
1436, 214.25
1437, 263.91
1438, 276.89
1439, 280.40
1440, 273.16
1441, 289.72
1442, 276.87
1443, 39.47
1444, 257.36
1445, 50.91
1446, 244.22
1447, 281.14
1448, 281.83
1449, 260.96
1450, 41.33
1451, 270.46
1452, 296.70
1453, 222.73
1454, 268.15
1455, 9.02
1456, 262.72
1457, 238.13
1458, 276.99
1459, 45.37
1460, 35.52
1461, 285.41
1462, 252.57
1463, 246.81
1464, 295.80
1465, 267.13
1466, 271.24
1467, 37.55
1468, 233.37
1469, 49.63
1470, 41.55
1471, 29.44
1472, 258.73
1473, 41.44
1474, 40.83
1475, 281.51
1476, 61.10
1477, 249.33
1478, 278.70
1479, 261.72
1480, 47.04
1481, 264.61
1482, 38.69
1483, 251.52
1484, 260.56
1485, 276.03
1486, 234.41
1487, 288.01
1488, 46.04
1489, 243.72
1490, 22.41
1491, 264.31
1492, 287.50
1493, 290.13
1494, 260.73
1495, 52.10
1496, 273.31
1497, 275.98
1498, 273.25
1499, 257.30
1500, 49.49
1501, 269.03
1502, 267.27
1503, 42.06
1504, 258.84
1505, 262.98
1506, 279.09
1507, 60.31
1508, 275.43
1509, 294.97
1510, -43.11
1511, 48.99
1512, 279.02
1513, 24.74
1514, 294.37
1515, 257.46
1516, 46.81
1517, 302.42
1518, -42.16
1519, 44.42
1520, 247.11
1521, 286.60
1522, -145.44
1523, 272.57
1524, 284.28
1525, 272.38
1526, 271.97
1527, 76.03
1528, 266.88
1529, 262.94
1530, 168.01
1531, 310.21
1532, 288.56
1533, 282.00
1534, 47.10
1535, 260.98
1536, 277.75
1537, 267.61
1538, 257.33
1539, 266.68
1540, 282.84
1541, 264.41
1542, 255.32
1543, 30.28
1544, 273.10
1545, 291.37
1546, 278.33
1547, 266.56
1548, 279.77
1549, 287.64
1550, 35.45
1551, 276.57
1552, 64.23
1553, 251.45
1554, 290.05
1555, 253.13
1556, 274.25
1557, 270.27
1558, 273.57
1559, 273.82
1560, 259.60
1561, 255.78
1562, 302.26
1563, 272.96
1564, 241.76
1565, 258.88
1566, 244.85
1567, 288.78
1568, 265.55
1569, 261.64
1570, 297.83
1571, 282.22
1572, 259.65
1573, 278.30
1574, 259.46
1575, 51.95
1576, 243.55
1577, 277.21
1578, 295.30
1579, 277.29
1580, 265.33
1581, 249.56
1582, 250.44
1583, 149.56
1584, 273.42
1585, 243.96
1586, 278.80
1587, 272.04
1588, 236.30
1589, 274.54
1590, 232.61
1591, 253.95
1592, 274.52
1593, 253.27
1594, 285.32
1595, 286.17
1596, -443.77
1597, 264.70
1598, 272.64
1599, 268.05
