# Episodio, Score_Promedio_50ep
1452, 202.75
1453, 202.07
1454, 197.57
1455, 197.67
1456, 197.85
1457, 198.50
1458, 198.57
1459, 199.71
1460, 195.20
1461, 195.89
1462, 196.16
1463, 196.86
1464, 196.84
1465, 196.42
1466, 199.91
1467, 200.06
1468, 204.52
1469, 204.19
1470, 208.19
1471, 213.15
1472, 209.68
1473, 209.99
1474, 215.29
1475, 216.12
1476, 216.54
1477, 216.42
1478, 217.05
1479, 221.95
1480, 226.91
1481, 226.16
1482, 226.34
1483, 226.21
1484, 223.28
1485, 223.79
1486, 219.91
1487, 225.63
1488, 225.89
1489, 226.72
1490, 226.55
1491, 226.35
1492, 231.06
1493, 231.51
1494, 231.58
1495, 232.18
1496, 231.49
1497, 231.77
1498, 231.88
1499, 231.71
1500, 232.34
1501, 232.94
1502, 233.33
1503, 233.63
1504, 237.03
1505, 237.69
1506, 237.26
1507, 236.52
1508, 240.71
1509, 241.53
1510, 246.86
1511, 246.31
1512, 246.26
1513, 245.83
1514, 250.42
1515, 246.31
1516, 246.67
1517, 245.96
1518, 244.90
1519, 244.24
1520, 244.73
1521, 244.48
1522, 244.34
1523, 248.58
1524, 248.60
1525, 247.92
1526, 246.73
1527, 245.91
1528, 246.25
1529, 244.66
1530, 244.83
1531, 245.43
1532, 245.36
1533, 245.65
1534, 248.93
1535, 247.91
1536, 252.13
1537, 251.90
1538, 252.06
1539, 250.65
1540, 245.90
1541, 245.61
1542, 244.72
1543, 244.51
1544, 244.62
1545, 244.52
1546, 245.14
1547, 245.28
1548, 244.80
1549, 244.54
1550, 244.78
1551, 240.22
1552, 239.20
1553, 239.03
1554, 239.84
1555, 239.78
1556, 239.38
1557, 239.30
1558, 239.11
1559, 238.95
1560, 237.43
1561, 233.82
1562, 233.84
1563, 233.64
1564, 232.46
1565, 236.08
1566, 236.20
1567, 232.69
1568, 233.87
1569, 233.69
1570, 233.32
1571, 233.39
1572, 238.07
1573, 238.34
1574, 237.51
1575, 238.02
1576, 234.79
1577, 235.34
1578, 235.04
1579, 236.74
1580, 236.81
1581, 236.33
1582, 235.81
1583, 231.22
