# Episodio, Loss
1249, 44.4708
1250, 55.2857
1251, 37.9869
1252, 34.7220
1253, 47.5396
1254, 35.8947
1255, 23.0517
1256, 37.7207
1257, 40.9531
1258, 33.6118
1259, 35.0713
1260, 22.4416
1261, 32.3158
1262, 35.1482
1263, 22.9557
1264, 23.7286
1265, 34.2580
1266, 33.3797
1267, 33.3216
1268, 36.3613
1269, 32.5858
1270, 51.1126
1271, 30.5500
1272, 43.5964
1273, 31.7586
1274, 39.5859
1275, 38.0899
1276, 30.7858
1277, 31.6412
1278, 31.3029
1279, 32.1124
1280, 26.8076
1281, 37.7260
1282, 27.9923
1283, 33.5720
1284, 35.7029
1285, 35.1488
1286, 33.6621
1287, 28.1737
1288, 23.4752
1289, 33.1302
1290, 36.8928
1291, 34.1617
1292, 25.7233
1293, 26.3327
1294, 32.5692
1295, 34.8117
1296, 40.4317
1297, 24.8921
1298, 42.5049
1299, 28.5452
1300, 34.1858
1301, 38.5178
1302, 33.1349
1303, 38.1758
1304, 26.0954
1305, 29.4718
1306, 40.7421
1307, 20.0621
1308, 37.0240
1309, 25.3232
1310, 32.3599
1311, 43.5482
1312, 25.6050
1313, 34.3046
1314, 24.9978
1315, 24.6174
1316, 26.6565
1317, 19.9668
1318, 36.0730
1319, 27.9152
1320, 21.8860
1321, 21.4616
1322, 21.7209
1323, 35.1064
1324, 14.3272
1325, 26.8979
1326, 37.2450
1327, 23.5218
1328, 32.7434
1329, 29.5341
1330, 28.8369
1331, 27.0887
1332, 19.7510
1333, 27.5599
1334, 27.6245
1335, 26.7238
1336, 26.7787
1337, 26.9061
1338, 29.7718
1339, 48.2660
1340, 31.5063
1341, 26.8864
1342, 33.7204
1343, 34.9427
1344, 22.7365
1345, 20.9516
1346, 31.3761
1347, 25.7585
1348, 20.3646
1349, 31.5558
1350, 27.8484
1351, 37.2716
1352, 33.8947
1353, 27.2363
1354, 20.3090
1355, 29.3516
1356, 30.5685
1357, 39.4301
1358, 28.8922
1359, 25.7156
1360, 30.3392
1361, 31.8450
1362, 31.4186
1363, 36.8790
1364, 30.4100
1365, 37.4417
1366, 32.9749
1367, 30.8442
1368, 29.0160
1369, 26.5079
